Player,Sold/Unsold,Winning Bid,2025 Team,2024 Team,Retained,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,BASRA,Avg+,SR+,BASRA+
Angkrish Raghuvanshi,Sold,3.00,KKR,KKR,No,163,10,7,0,54,23.29,105,155.23,0,1,16,8,178.52,105.68,117.22,115.57
Manish Pandey,Sold,0.75,KKR,KKR,No,42,1,1,0,42,42,31,135.48,0,0,2,2,177.48,190.58,102.3,114.9
Rovman Powell,Sold,1.50,KKR,RR,No,103,10,7,1,27,17.17,68,151.47,0,0,10,6,168.64,77.91,114.38,109.17
Rinku Singh,Sold,13.00,KKR,KKR,Yes,168,15,11,2,26,18.67,113,148.67,0,0,13,8,167.34,84.72,112.26,108.33
Rahmanullah Gurbaz,Sold,2.00,KKR,KKR,No,62,3,2,0,39,31,46,134.78,0,0,7,4,165.78,140.67,101.77,107.32
Quinton De Kock,Sold,3.60,KKR,LSG,No,250,11,11,0,81,22.73,186,134.4,0,3,29,9,157.13,103.14,101.49,101.72
Moeen Ali,Sold,2.00,KKR,CSK,No,128,8,5,0,56,25.6,98,130.61,0,1,7,8,156.21,116.16,98.62,101.13
Ajinkya Rahane,Sold,1.50,KKR,CSK,No,242,13,12,0,45,20.17,196,123.46,0,0,23,7,143.63,91.52,93.23,92.98
Anrich Nortje,Sold,6.50,KKR,DC,No,4,6,2,0,4,2,8,50,0,0,0,0,52,9.08,37.76,33.66
R. Sai Kishore,Sold,2.00,GT,GT,No,13,5,2,1,13,13,6,216.66,0,0,0,2,229.66,58.99,163.6,148.68
Mahipal Lomror,Sold,1.70,GT,RCB,No,125,10,10,2,33,15.63,68,183.82,0,0,9,9,199.45,70.92,138.8,129.12
Mohd. Arshad Khan,Sold,1.30,GT,LSG,No,83,4,4,2,58*,41.5,54,153.7,0,1,6,5,195.2,188.31,116.06,126.37
Sai Sudharsan,Sold,8.50,GT,GT,Yes,527,12,12,1,103,47.91,373,141.28,1,2,48,16,189.19,217.4,106.68,122.48
Shahrukh Khan,Sold,4.00,GT,GT,Yes,127,7,7,0,58,18.14,75,169.33,0,1,9,9,187.47,82.31,127.86,121.36
Shubman Gill,Sold,16.50,GT,GT,Yes,426,12,12,1,104,38.73,289,147.4,1,2,37,15,186.13,175.74,111.3,120.5
Jos Buttler,Sold,15.75,GT,RR,No,359,11,11,2,107*,39.89,255,140.78,2,0,36,12,180.67,181.01,106.3,116.96
Rahul Tewatia,Sold,4.00,GT,GT,Yes,188,12,9,2,36*,26.86,129,145.73,0,0,24,5,172.59,121.88,110.04,111.73
Rashid Khan,Sold,18.00,GT,GT,Yes,102,12,8,3,31,20.4,71,143.66,0,0,11,3,164.06,92.57,108.48,106.21
Kagiso Rabada,Sold,10.75,GT,PBKS,No,20,11,3,2,11*,20,14,142.85,0,0,0,2,162.85,90.75,107.87,105.43
Mohammad Siraj,Sold,12.25,GT,RCB,No,12,14,3,1,12,6,8,150,0,0,0,2,156,27.23,113.27,100.99
Anuj Rawat,Sold,0.30,GT,RCB,No,98,5,5,1,48,24.5,77,127.27,0,0,10,3,151.77,111.17,96.1,98.25
Gerald Coetzee,Sold,2.40,GT,MI,No,14,10,5,1,8,3.5,22,63.63,0,0,0,1,67.13,15.88,48.05,43.46
Manav Suthar,Sold,0.30,GT,GT,No,1,1,1,0,1,1,2,50,0,0,0,0,51,4.54,37.76,33.02
Kumar Kushagra,Sold,0.65,GT,DC,No,3,4,3,0,2,1,7,42.85,0,0,0,0,43.85,4.54,32.36,28.39
